Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC03_Send contact,Chrome 114.0.0.0,,,2023-07-23 23:46:45,2023-07-23 23:47:12,26.960s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Contact,Chrome 114.0.0.0,,,2023-07-23 23:46:45,2023-07-23 23:47:12,26.584s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-23 23:46:46,2023-07-23 23:46:50,4.775s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-23 23:46:50,2023-07-23 23:46:51,0.444s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-23 23:46:51,2023-07-23 23:46:54,3.309s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Contact""))",Chrome 114.0.0.0,,,2023-07-23 23:46:54,2023-07-23 23:46:56,2.439s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Contact Email_recipient-email""), ""miancloud@gmail.com"")",Chrome 114.0.0.0,,,2023-07-23 23:46:56,2023-07-23 23:47:01,4.053s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Contact Name_recipient-name""), ""Mian"")",Chrome 114.0.0.0,,,2023-07-23 23:47:01,2023-07-23 23:47:04,3.817s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/textarea_Message_message-text""), ""test"")",Chrome 114.0.0.0,,,2023-07-23 23:47:04,2023-07-23 23:47:08,4.035s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Send message""))",Chrome 114.0.0.0,,,2023-07-23 23:47:08,2023-07-23 23:47:10,2.067s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-23 23:47:10,2023-07-23 23:47:12,1.212s,PASSED
