Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC01_Login successfully,Chrome 114.0.0.0,,,2023-07-20 00:08:06,2023-07-20 00:08:20,14.567s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Login/Login With Valid Account,Chrome 114.0.0.0,,,2023-07-20 00:08:06,2023-07-20 00:08:20,14.246s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-20 00:08:06,2023-07-20 00:08:12,5.819s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-20 00:08:12,2023-07-20 00:08:13,0.450s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-20 00:08:13,2023-07-20 00:08:14,1.889s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Log in""))",Chrome 114.0.0.0,,,2023-07-20 00:08:14,2023-07-20 00:08:16,1.817s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Username_loginusername""), ""testwithkatalon"")",Chrome 114.0.0.0,,,2023-07-20 00:08:16,2023-07-20 00:08:18,1.960s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_STORE/input_Password_loginpassword""), ""P9ET2sDE0SE="")",Chrome 114.0.0.0,,,2023-07-20 00:08:18,2023-07-20 00:08:19,0.445s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Log in""))",Chrome 114.0.0.0,,,2023-07-20 00:08:19,2023-07-20 00:08:19,0.343s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-20 00:08:19,2023-07-20 00:08:20,1.277s,PASSED
