Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC01_Login successfully,Chrome 114.0.0.0,,,2023-07-19 00:06:43,2023-07-19 00:07:04,21.118s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Login/Login With Valid Account,Chrome 114.0.0.0,,,2023-07-19 00:06:44,2023-07-19 00:07:04,20.514s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-19 00:06:44,2023-07-19 00:06:53,8.392s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-19 00:06:53,2023-07-19 00:06:53,0.619s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-19 00:06:53,2023-07-19 00:06:57,3.969s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Log in""))",Chrome 114.0.0.0,,,2023-07-19 00:06:57,2023-07-19 00:07:00,2.343s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Username_loginusername""), ""testwithkatalon"")",Chrome 114.0.0.0,,,2023-07-19 00:07:00,2023-07-19 00:07:01,1.486s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_STORE/input_Password_loginpassword""), ""P9ET2sDE0SE="")",Chrome 114.0.0.0,,,2023-07-19 00:07:01,2023-07-19 00:07:02,0.724s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Log in""))",Chrome 114.0.0.0,,,2023-07-19 00:07:02,2023-07-19 00:07:02,0.605s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-19 00:07:02,2023-07-19 00:07:04,1.778s,PASSED
