Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC03_Send contact,Chrome 114.0.0.0,,,2023-07-22 22:20:41,2023-07-22 22:20:55,14.437s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Contact,Chrome 114.0.0.0,,,2023-07-22 22:20:41,2023-07-22 22:20:55,14.112s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-22 22:20:41,2023-07-22 22:20:46,5.002s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-22 22:20:46,2023-07-22 22:20:47,0.480s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-22 22:20:47,2023-07-22 22:20:49,2.018s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Contact""))",Chrome 114.0.0.0,,,2023-07-22 22:20:49,2023-07-22 22:20:50,1.076s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Contact Email_recipient-email""), ""miancloud@gmail.com"")",Chrome 114.0.0.0,,,2023-07-22 22:20:50,2023-07-22 22:20:51,1.070s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Contact Name_recipient-name""), ""Mian"")",Chrome 114.0.0.0,,,2023-07-22 22:20:51,2023-07-22 22:20:53,1.660s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/textarea_Message_message-text""), ""test"")",Chrome 114.0.0.0,,,2023-07-22 22:20:53,2023-07-22 22:20:53,0.649s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Send message""))",Chrome 114.0.0.0,,,2023-07-22 22:20:53,2023-07-22 22:20:54,0.407s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-22 22:20:54,2023-07-22 22:20:55,1.341s,PASSED
