Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC03_Send contact,Chrome 114.0.0.0,,,2023-07-17 18:39:37,2023-07-17 18:39:51,14.235s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Contact,Chrome 114.0.0.0,,,2023-07-17 18:39:37,2023-07-17 18:39:51,13.784s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-17 18:39:38,2023-07-17 18:39:44,6.081s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-17 18:39:44,2023-07-17 18:39:44,0.459s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-17 18:39:44,2023-07-17 18:39:46,1.671s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Contact""))",Chrome 114.0.0.0,,,2023-07-17 18:39:46,2023-07-17 18:39:48,1.760s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Contact Email_recipient-email""), ""miancloud@gmail.com"")",Chrome 114.0.0.0,,,2023-07-17 18:39:48,2023-07-17 18:39:49,1.101s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Contact Name_recipient-name""), ""Mian"")",Chrome 114.0.0.0,,,2023-07-17 18:39:49,2023-07-17 18:39:50,0.694s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/textarea_Message_message-text""), ""test"")",Chrome 114.0.0.0,,,2023-07-17 18:39:50,2023-07-17 18:39:50,0.741s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Send message""))",Chrome 114.0.0.0,,,2023-07-17 18:39:50,2023-07-17 18:39:51,0.479s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-17 18:39:51,2023-07-17 18:39:51,0.329s,PASSED
