Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC03_Send contact,Chrome 114.0.0.0,,,2023-07-23 14:34:47,2023-07-23 14:35:00,13.036s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Contact,Chrome 114.0.0.0,,,2023-07-23 14:34:48,2023-07-23 14:35:00,12.697s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-23 14:34:48,2023-07-23 14:34:53,5.023s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-23 14:34:53,2023-07-23 14:34:54,0.487s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-23 14:34:54,2023-07-23 14:34:55,1.397s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Contact""))",Chrome 114.0.0.0,,,2023-07-23 14:34:55,2023-07-23 14:34:56,1.306s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Contact Email_recipient-email""), ""miancloud@gmail.com"")",Chrome 114.0.0.0,,,2023-07-23 14:34:56,2023-07-23 14:34:57,1.021s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Contact Name_recipient-name""), ""Mian"")",Chrome 114.0.0.0,,,2023-07-23 14:34:57,2023-07-23 14:34:58,0.659s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/textarea_Message_message-text""), ""test"")",Chrome 114.0.0.0,,,2023-07-23 14:34:58,2023-07-23 14:34:59,0.688s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Send message""))",Chrome 114.0.0.0,,,2023-07-23 14:34:59,2023-07-23 14:34:59,0.396s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-23 14:34:59,2023-07-23 14:35:00,1.262s,PASSED
