Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC02_Login unsuccessfully,Chrome 114.0.0.0,,,2023-07-23 14:27:20,2023-07-23 14:27:36,15.194s,PASSED
,,,,,,,
Test Cases/Navigation Bar/Login/Login With Invalid Account,Chrome 114.0.0.0,,,2023-07-23 14:27:21,2023-07-23 14:27:36,14.822s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-23 14:27:21,2023-07-23 14:27:26,4.894s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-23 14:27:26,2023-07-23 14:27:27,0.461s,PASSED
navigateToUrl(G_URL),Chrome 114.0.0.0,,,2023-07-23 14:27:27,2023-07-23 14:27:30,3.186s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/a_Log in""))",Chrome 114.0.0.0,,,2023-07-23 14:27:30,2023-07-23 14:27:30,0.490s,PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Username_loginusername""), ""testwithkatalon7"")",Chrome 114.0.0.0,,,2023-07-23 14:27:30,2023-07-23 14:27:31,1.039s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_STORE/input_Password_loginpassword""), ""P9ET2sDE0SE="")",Chrome 114.0.0.0,,,2023-07-23 14:27:31,2023-07-23 14:27:32,0.445s,PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Log in""))",Chrome 114.0.0.0,,,2023-07-23 14:27:32,2023-07-23 14:27:32,0.393s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-23 14:27:32,2023-07-23 14:27:34,2.062s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-23 14:27:34,2023-07-23 14:27:36,1.326s,PASSED
